m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    100    87    4    8    883    560    533    884    563    536    4923    4892    4589    4927    4905    4606    0.1131    0.5329    0.5597    0.08118    0.265    0.3691    3516    62990    90430
0    100    88    4    8    885    559    533    886    560    535    4925    4863    4576    4929    4873    4590    0.1129    0.1786    0.3738    0.08115    0.2052    0.305    3618    62770    90680
0    100    89    4    8    883    557    530    884    559    533    4917    4857    4573    4919    4869    4589    0.1131    0.3578    0.5629    0.04066    0.2465    0.3487    3571    63120    90210
0    100    90    4    8    880    555    530    881    558    533    4904    4872    4593    4908    4890    4616    0.1135    0.5376    0.5629    0.0815    0.3681    0.4983    3571    63080    91240
0    100    91    4    8    885    559    532    885    562    534    4923    4886    4583    4927    4897    4597    0    0.5338    0.3745    0.08118    0.2246    0.3045    3645    63610    90940
0    100    92    4    8    884    562    534    885    565    537    4936    4914    4604    4944    4934    4624    0.113    0.531    0.5587    0.1618    0.4053    0.4325    3616    63380    91700
0    100    93    4    8    884    556    529    884    558    531    4933    4869    4572    4935    4879    4586    0    0.3584    0.3766    0.04053    0.205    0.3053    3657    63730    91530
0    100    94    4    8    885    556    529    886    558    531    4935    4857    4562    4941    4869    4575    0.1129    0.3584    0.3766    0.1214    0.2465    0.2842    3538    63270    90880
0    100    95    4    8    884    559    532    885    561    534    4933    4887    4590    4938    4898    4601    0.113    0.3565    0.3745    0.1013    0.2246    0.2391    3635    63200    91060
0    100    96    4    8    881    558    528    882    560    530    4920    4884    4560    4923    4898    4573    0.1134    0.3571    0.3774    0.06094    0.2858    0.2843    3611    64330    91550
0    100    97    4    8    881    556    530    882    557    531    4954    4893    4599    4958    4902    4607    0.1134    0.1795    0.1883    0.08067    0.1836    0.1736    3571    63380    91730
0    100    98    4    8    883    557    532    884    557    532    4959    4883    4608    4963    4886    4609    0.1131    0    0    0.0806    0.0614    0.0217    3593    64010    92460
0    100    99    4    8    883    556    531    884    556    531    5014    4901    4622    5018    4901    4625    0.1131    0    0    0.07971    0    0.06487    3547    63960    91690
